book,bookpath
0307887898,1
0307353133,1
0804139296,1
0066620996,1
0307887898,2
0804139296,2
0066620996,2
0875845851,2
1647820715,2
0307887898,3
0307887898,4
0804139296,4
0091929784,4
0670899240,4
0887307396,4
0593070100,4
0061251305,5
1250190444,5
0670026557,5
1250235374,5
0785274316,5
0446576220,5
0547636474,6
0609603558,6
0393050691,6
0399580573,6
0553057065,6
0393241808,6
0470499559,6
0609603558,7
0393050691,7
0470499559,7
0071385290,8
0140127925,8
0060752610,8
0393358380,8
0140267646,8
0446677450,9
0857197681,9
0451205367,9
1847941370,10
0061241891,11
0671723650,11
0140157352,11
1591846285,11
0374275637,12
0061353231,12
1524722741,12
0061241891,12
1524722741,13
0593189647,13
0201835959,14
0996128107,14
0201616221,14
0201310058,15
0132350882,16
0596007124,16
0201485672,16
1449373321,17
1492043451,17
1491950358,17
1680502395,17
1491956259,17
1492043451,18
0199291152,19
0099590088,19
0739467352,19
0465057128,20
0345476093,20
0141186917,20